Date,Heart_Rate_Zone,Calories_Burned_Level,Steps_Count_Zone,Distance_Walked_Zone,Active_Minutes_Level,Sleep_Hours_Quality,Blood_Oxygen_Level_Quality
2023-10-01,Moderate,Low,Lightly Active,Long,Moderate,Poor,Good
2023-10-02,High,Moderate,Lightly Active,Long,High,Good,Moderate
2023-10-03,Moderate,Very High,Very Active,Long,High,Very Good,Moderate
2023-10-04,Light,Low,Lightly Active,Long,Moderate,Very Poor,Optimal
2023-10-05,Moderate,High,Active,Long,High,Very Good,Good
2023-10-06,Light,High,Lightly Active,Short,Moderate,Very Poor,Moderate
2023-10-07,Light,Moderate,Very Active,Short,Low,Very Good,Good
2023-10-08,Moderate,Very High,Active,Moderate,High,Good,Good
2023-10-09,Light,Low,Sedentary,Long,Low,Good,Optimal
2023-10-10,Light,Low,Sedentary,Short,Low,Very Good,Optimal
2023-10-11,Light,High,Very Active,Moderate,Low,Very Good,Optimal
2023-10-12,Light,Moderate,Very Active,Long,Moderate,Good,Optimal
2023-10-13,Light,Low,Lightly Active,Moderate,Moderate,Very Good,Moderate
2023-10-14,High,Very High,Active,Long,Low,Poor,Optimal
2023-10-15,Moderate,High,Lightly Active,Long,High,Very Poor,Good
2023-10-16,Moderate,Low,Active,Moderate,Low,Poor,Moderate
2023-10-17,Light,Low,Lightly Active,Moderate,Very High,Very Poor,Optimal
2023-10-18,Resting,High,Active,Moderate,Moderate,Good,Low
2023-10-19,Light,Moderate,Lightly Active,Moderate,Very High,Very Good,Optimal
2023-10-20,High,Very High,Active,Short,Moderate,Very Poor,Good
2023-10-21,Resting,Low,Very Active,Moderate,Moderate,Very Poor,Optimal
2023-10-22,Light,Moderate,Very Active,Moderate,Very High,Good,Optimal
2023-10-23,Moderate,Moderate,Lightly Active,Very Short,Low,Very Good,Optimal
2023-10-24,Moderate,Very High,Active,Short,Low,Poor,Optimal
2023-10-25,Moderate,Low,Very Active,Moderate,High,Good,Good
2023-10-26,Resting,High,Very Active,Moderate,Very High,Very Poor,Low
2023-10-27,Light,Very High,Sedentary,Short,Moderate,Very Poor,Good
2023-10-28,Moderate,Moderate,Very Active,Long,Moderate,Very Good,Moderate
2023-10-29,Light,Moderate,Very Active,Long,Moderate,Very Good,Optimal
2023-10-30,Light,Very High,Active,Short,Very High,Very Poor,Good
2023-10-31,Moderate,Moderate,Very Active,Long,High,Very Good,Optimal
2023-11-01,Light,High,Very Active,Moderate,High,Good,Low
2023-11-02,High,High,Active,Long,Low,Very Good,Low
2023-11-03,Moderate,Very High,Very Active,Moderate,High,Good,Optimal
2023-11-04,Moderate,Low,Active,Long,Moderate,Good,Low
2023-11-05,Moderate,High,Active,Long,Very High,Good,Low
2023-11-06,Light,High,Lightly Active,Long,Low,Good,Low
2023-11-07,Light,Low,Sedentary,Long,Very High,Very Poor,Optimal
2023-11-08,High,Low,Lightly Active,Very Short,Moderate,Very Poor,Optimal
2023-11-09,High,High,Sedentary,Short,Low,Poor,Moderate
2023-11-10,Moderate,High,Active,Long,Moderate,Very Good,Moderate
2023-11-11,High,Moderate,Lightly Active,Moderate,Low,Poor,Moderate
2023-11-12,High,Low,Very Active,Long,Low,Very Good,Optimal
2023-11-13,Resting,Very High,Very Active,Very Short,Very High,Very Good,Optimal
2023-11-14,Moderate,Very High,Lightly Active,Moderate,Very High,Very Poor,Moderate
2023-11-15,High,High,Active,Moderate,Moderate,Very Good,Moderate
2023-11-16,Light,Low,Lightly Active,Moderate,Moderate,Good,Low
2023-11-17,Light,High,Very Active,Moderate,Very High,Very Good,Optimal
2023-11-18,Light,Low,Active,Moderate,Moderate,Very Good,Optimal
2023-11-19,Moderate,Low,Active,Moderate,Very High,Very Good,Moderate
2023-11-20,Light,Low,Active,Moderate,Moderate,Very Good,Low
2023-11-21,Resting,Moderate,Active,Moderate,Moderate,Very Good,Low
2023-11-22,Light,High,Very Active,Long,Low,Very Good,Optimal
2023-11-23,Light,Moderate,Sedentary,Very Short,Moderate,Good,Moderate
2023-11-24,High,Moderate,Sedentary,Moderate,High,Good,Optimal
2023-11-25,Light,High,Sedentary,Moderate,Moderate,Very Good,Good
2023-11-26,Light,Low,Sedentary,Long,Moderate,Good,Good
2023-11-27,High,Low,Very Active,Moderate,Moderate,Very Poor,Moderate
2023-11-28,Resting,Moderate,Lightly Active,Long,High,Very Good,Low
2023-11-29,Light,Moderate,Very Active,Long,High,Very Good,Good
2023-11-30,Moderate,High,Very Active,Short,Moderate,Very Good,Optimal
2023-12-01,High,High,Lightly Active,Short,Moderate,Poor,Optimal
2023-12-02,Light,High,Lightly Active,Moderate,Moderate,Good,Good
2023-12-03,Moderate,Low,Very Active,Short,High,Poor,Low
2023-12-04,Light,Low,Sedentary,Moderate,Moderate,Good,Optimal
2023-12-05,High,Very High,Lightly Active,Long,Moderate,Very Poor,Optimal
2023-12-06,Moderate,Very High,Very Active,Very Short,Moderate,Good,Moderate
2023-12-07,Light,Moderate,Very Active,Very Short,Low,Very Good,Optimal
2023-12-08,Light,Moderate,Very Active,Short,Very High,Very Poor,Good
2023-12-09,Moderate,High,Very Active,Long,Moderate,Very Good,Good
2023-12-10,High,Very High,Active,Moderate,High,Poor,Optimal
2023-12-11,Moderate,Moderate,Very Active,Very Short,High,Very Good,Optimal
2023-12-12,Resting,Very High,Lightly Active,Long,Moderate,Very Good,Optimal
2023-12-13,Resting,Moderate,Active,Long,Moderate,Good,Low
2023-12-14,Resting,High,Very Active,Very Short,Moderate,Very Good,Moderate
2023-12-15,High,Very High,Active,Long,Low,Very Good,Optimal
2023-12-16,Moderate,Moderate,Lightly Active,Long,High,Poor,Moderate
2023-12-17,Resting,Very High,Active,Moderate,Moderate,Poor,Moderate
2023-12-18,High,Moderate,Active,Very Short,Moderate,Very Good,Good
2023-12-19,Moderate,Very High,Very Active,Very Short,High,Very Good,Good
2023-12-20,Light,Low,Sedentary,Very Short,Low,Very Good,Good
2023-12-21,Light,Low,Active,Long,Very High,Very Good,Optimal
2023-12-22,Moderate,High,Very Active,Long,Moderate,Good,Moderate
2023-12-23,Moderate,Moderate,Sedentary,Very Short,Moderate,Very Good,Low
2023-12-24,Light,High,Active,Short,Low,Very Poor,Moderate
2023-12-25,Moderate,Very High,Very Active,Short,Low,Good,Optimal
2023-12-26,Light,High,Lightly Active,Short,Very High,Very Poor,Optimal
2023-12-27,Moderate,Very High,Active,Long,High,Poor,Moderate
2023-12-28,High,Low,Sedentary,Short,Moderate,Poor,Optimal
2023-12-29,Light,High,Lightly Active,Short,Moderate,Poor,Optimal
2023-12-30,Light,High,Lightly Active,Short,High,Very Good,Optimal
2023-12-31,Light,High,Active,Moderate,Low,Poor,Optimal
2024-01-01,Light,Very High,Very Active,Moderate,Moderate,Good,Moderate
2024-01-02,Moderate,Moderate,Active,Long,Low,Poor,Optimal
2024-01-03,Light,Moderate,Lightly Active,Short,Moderate,Poor,Good
2024-01-04,Light,Very High,Very Active,Long,Low,Poor,Optimal
2024-01-05,Moderate,Very High,Lightly Active,Moderate,Moderate,Very Poor,Optimal
2024-01-06,Light,Moderate,Very Active,Very Short,High,Good,Optimal
2024-01-07,High,Low,Sedentary,Moderate,Low,Very Good,Optimal
2024-01-08,High,Moderate,Very Active,Long,High,Good,Moderate
2024-01-09,Light,Moderate,Lightly Active,Long,High,Good,Good
2024-01-10,Light,Very High,Very Active,Moderate,Moderate,Poor,Optimal
2024-01-11,Light,Moderate,Lightly Active,Moderate,High,Very Good,Optimal
2024-01-12,Moderate,Very High,Very Active,Long,Moderate,Good,Low
2024-01-13,Moderate,Low,Active,Moderate,Moderate,Good,Moderate
2024-01-14,Moderate,Moderate,Sedentary,Very Short,Moderate,Very Poor,Moderate
2024-01-15,Light,Low,Lightly Active,Long,Moderate,Poor,Optimal
2024-01-16,Moderate,Low,Sedentary,Short,Moderate,Poor,Optimal
2024-01-17,Resting,Very High,Lightly Active,Moderate,Moderate,Poor,Moderate
2024-01-18,Light,Moderate,Active,Short,Low,Good,Good
2024-01-19,Light,Low,Very Active,Very Short,Very High,Good,Optimal
2024-01-20,Light,Moderate,Very Active,Short,High,Good,Optimal
2024-01-21,Light,Moderate,Lightly Active,Long,Moderate,Very Good,Good
2024-01-22,Resting,Very High,Active,Short,Low,Very Good,Good
2024-01-23,Moderate,Low,Active,Short,Low,Very Good,Good
2024-01-24,Light,High,Very Active,Short,Very High,Very Good,Moderate
2024-01-25,Light,High,Very Active,Moderate,Very High,Very Poor,Good
2024-01-26,Light,High,Active,Long,Very High,Poor,Optimal
2024-01-27,High,Moderate,Active,Moderate,High,Very Poor,Optimal
2024-01-28,Light,Very High,Active,Moderate,Low,Good,Optimal
2024-01-29,Light,Moderate,Sedentary,Long,High,Very Good,Optimal
2024-01-30,Moderate,Very High,Sedentary,Moderate,Moderate,Poor,Moderate
2024-01-31,Moderate,Moderate,Active,Short,Low,Very Good,Good
2024-02-01,Moderate,Low,Very Active,Short,Low,Very Poor,Low
2024-02-02,Resting,Very High,Very Active,Short,Very High,Very Good,Moderate
2024-02-03,Moderate,Very High,Very Active,Moderate,Low,Poor,Optimal
2024-02-04,Moderate,Moderate,Active,Moderate,Low,Very Poor,Optimal
2024-02-05,Moderate,High,Lightly Active,Long,Very High,Good,Low
2024-02-06,Moderate,High,Very Active,Short,Moderate,Poor,Good
2024-02-07,Light,Low,Very Active,Moderate,Very High,Poor,Optimal
2024-02-08,Light,Low,Lightly Active,Moderate,High,Poor,Moderate
2024-02-09,Light,Moderate,Active,Moderate,Moderate,Very Good,Good
2024-02-10,Light,High,Lightly Active,Long,Moderate,Good,Optimal
2024-02-11,Moderate,Low,Very Active,Moderate,Low,Poor,Good
2024-02-12,Moderate,Very High,Very Active,Short,Low,Good,Moderate
2024-02-13,High,Moderate,Lightly Active,Long,Low,Very Good,Moderate
2024-02-14,High,Moderate,Lightly Active,Moderate,High,Poor,Optimal
2024-02-15,Light,Very High,Very Active,Moderate,Very High,Poor,Good
2024-02-16,Light,High,Very Active,Moderate,Moderate,Very Poor,Low
2024-02-17,Moderate,High,Lightly Active,Moderate,Low,Very Good,Optimal
2024-02-18,Moderate,Low,Lightly Active,Long,High,Very Good,Low
2024-02-19,Moderate,Moderate,Very Active,Very Short,Low,Very Good,Optimal
2024-02-20,Moderate,Moderate,Active,Short,Moderate,Good,Moderate
2024-02-21,Light,Low,Lightly Active,Very Short,High,Very Good,Optimal
2024-02-22,Moderate,High,Very Active,Long,Moderate,Very Poor,Moderate
2024-02-23,Moderate,Very High,Active,Short,Very High,Good,Moderate
2024-02-24,Resting,High,Very Active,Long,Moderate,Poor,Moderate
2024-02-25,Moderate,Very High,Very Active,Moderate,Low,Very Good,Moderate
2024-02-26,Moderate,Low,Active,Long,Low,Good,Optimal
2024-02-27,High,High,Very Active,Long,Moderate,Very Good,Optimal
2024-02-28,Light,High,Lightly Active,Long,Very High,Good,Moderate
2024-02-29,Resting,Moderate,Active,Long,High,Very Poor,Good
2024-03-01,Resting,Moderate,Very Active,Moderate,Low,Good,Optimal
2024-03-02,Resting,Moderate,Active,Moderate,Moderate,Very Good,Optimal
2024-03-03,Light,Moderate,Active,Short,High,Good,Good
2024-03-04,High,High,Lightly Active,Short,Moderate,Very Good,Good
2024-03-05,Light,Low,Active,Moderate,Low,Very Good,Good
2024-03-06,Moderate,Moderate,Very Active,Moderate,Very High,Poor,Optimal
2024-03-07,Moderate,Moderate,Very Active,Short,Very High,Poor,Low
2024-03-08,Light,Moderate,Sedentary,Moderate,Low,Good,Good
2024-03-09,Light,Very High,Active,Long,Moderate,Poor,Moderate
2024-03-10,Light,Moderate,Very Active,Moderate,Very High,Very Good,Optimal
2024-03-11,Light,Low,Lightly Active,Long,Low,Very Good,Low
2024-03-12,Moderate,Low,Very Active,Long,Moderate,Poor,Good
2024-03-13,Light,Moderate,Very Active,Long,Low,Poor,Good
2024-03-14,High,High,Active,Moderate,Low,Very Good,Optimal
2024-03-15,Moderate,Very High,Active,Long,Low,Poor,Low
2024-03-16,Moderate,Very High,Active,Long,Low,Very Good,Good
2024-03-17,High,Moderate,Active,Long,Low,Very Good,Good
2024-03-18,High,Low,Active,Very Short,Low,Very Good,Good
2024-03-19,Moderate,Moderate,Active,Moderate,Moderate,Very Poor,Good
2024-03-20,Resting,Very High,Very Active,Short,Moderate,Good,Optimal
2024-03-21,Moderate,Very High,Active,Very Short,Very High,Good,Optimal
2024-03-22,Moderate,High,Lightly Active,Moderate,High,Good,Moderate
2024-03-23,Light,Very High,Lightly Active,Long,Moderate,Very Good,Optimal
2024-03-24,Moderate,High,Active,Long,Low,Very Good,Good
2024-03-25,Moderate,Moderate,Very Active,Very Short,Moderate,Very Good,Low
2024-03-26,Light,High,Lightly Active,Long,Low,Poor,Low
2024-03-27,Moderate,Low,Active,Moderate,Moderate,Very Poor,Moderate
2024-03-28,Moderate,Very High,Very Active,Long,Very High,Very Poor,Optimal
2024-03-29,Moderate,Moderate,Lightly Active,Long,High,Good,Optimal
2024-03-30,Light,High,Active,Moderate,Low,Good,Optimal
2024-03-31,Moderate,High,Very Active,Short,Moderate,Good,Good
2024-04-01,Light,Very High,Lightly Active,Long,Very High,Poor,Good
2024-04-02,High,High,Lightly Active,Long,Very High,Poor,Moderate
2024-04-03,Light,Very High,Active,Very Short,Very High,Good,Moderate
2024-04-04,Moderate,High,Lightly Active,Long,Moderate,Good,Good
2024-04-05,Resting,Moderate,Very Active,Short,Low,Very Good,Low
2024-04-06,Moderate,Moderate,Very Active,Long,Low,Very Poor,Moderate
2024-04-07,Moderate,Very High,Very Active,Long,Very High,Very Good,Good
2024-04-08,High,Moderate,Active,Long,Moderate,Poor,Optimal
2024-04-09,Resting,High,Very Active,Short,Low,Very Good,Optimal
2024-04-10,Moderate,Very High,Active,Long,Moderate,Very Good,Optimal
2024-04-11,Moderate,High,Very Active,Long,High,Very Good,Optimal
2024-04-12,Moderate,Moderate,Active,Very Short,Very High,Very Good,Good
2024-04-13,Moderate,Very High,Active,Moderate,Moderate,Very Poor,Optimal
2024-04-14,Light,Low,Very Active,Long,Moderate,Very Poor,Optimal
2024-04-15,Moderate,High,Very Active,Moderate,Very High,Very Good,Low
2024-04-16,Light,Very High,Active,Short,Moderate,Good,Good
2024-04-17,High,Moderate,Active,Moderate,Moderate,Poor,Optimal
2024-04-18,Moderate,High,Very Active,Moderate,Low,Very Poor,Good
2024-04-19,Light,High,Lightly Active,Long,Low,Very Poor,Good
2024-04-20,Moderate,Moderate,Sedentary,Long,Moderate,Very Good,Good
2024-04-21,Moderate,High,Lightly Active,Moderate,Moderate,Poor,Moderate
2024-04-22,Resting,Moderate,Very Active,Short,High,Poor,Moderate
2024-04-23,Moderate,Moderate,Active,Long,High,Poor,Moderate
2024-04-24,High,Moderate,Very Active,Moderate,Moderate,Poor,Low
2024-04-25,Light,Low,Very Active,Very Short,Low,Very Poor,Low
2024-04-26,Moderate,Very High,Lightly Active,Long,Moderate,Good,Optimal
2024-04-27,Resting,High,Lightly Active,Long,Moderate,Very Poor,Moderate
2024-04-28,Moderate,Low,Very Active,Long,High,Very Good,Good
2024-04-29,Resting,Very High,Active,Long,Very High,Poor,Moderate
2024-04-30,Light,High,Active,Moderate,Low,Good,Optimal
2024-05-01,Moderate,Moderate,Very Active,Long,Moderate,Very Good,Moderate
2024-05-02,Light,High,Very Active,Moderate,Moderate,Good,Good
2024-05-03,Moderate,Moderate,Very Active,Very Short,Very High,Good,Optimal
2024-05-04,Moderate,High,Active,Moderate,Moderate,Poor,Optimal
2024-05-05,High,Very High,Very Active,Moderate,High,Poor,Moderate
2024-05-06,Moderate,High,Very Active,Long,Moderate,Very Good,Optimal
2024-05-07,Moderate,High,Active,Very Short,Moderate,Very Good,Good
2024-05-08,Light,High,Lightly Active,Very Short,Moderate,Good,Good
2024-05-09,Light,High,Active,Short,Moderate,Good,Moderate
2024-05-10,High,Low,Active,Short,High,Very Good,Low
2024-05-11,Moderate,Very High,Very Active,Long,Very High,Good,Optimal
2024-05-12,Moderate,Moderate,Lightly Active,Short,High,Very Poor,Good
2024-05-13,Light,High,Very Active,Moderate,Low,Good,Good
2024-05-14,Moderate,Low,Very Active,Moderate,Moderate,Very Good,Optimal
2024-05-15,High,High,Very Active,Moderate,Moderate,Very Good,Optimal
2024-05-16,High,Moderate,Sedentary,Long,High,Very Good,Moderate
2024-05-17,High,Low,Very Active,Moderate,Very High,Poor,Good
2024-05-18,High,Low,Sedentary,Long,High,Good,Moderate
2024-05-19,Light,Low,Very Active,Moderate,High,Very Poor,Optimal
2024-05-20,Moderate,Low,Active,Short,Moderate,Good,Optimal
2024-05-21,Resting,Moderate,Active,Long,Very High,Very Good,Optimal
2024-05-22,Resting,Very High,Lightly Active,Short,Very High,Poor,Low
2024-05-23,High,High,Very Active,Very Short,High,Good,Low
2024-05-24,Moderate,High,Very Active,Long,High,Very Good,Moderate
2024-05-25,High,Very High,Very Active,Very Short,Moderate,Very Good,Moderate
2024-05-26,Light,Low,Active,Long,High,Poor,Moderate
2024-05-27,High,Low,Lightly Active,Moderate,Moderate,Poor,Optimal
2024-05-28,Resting,Very High,Very Active,Long,Very High,Very Poor,Moderate
2024-05-29,Resting,Moderate,Very Active,Long,Very High,Very Good,Moderate
2024-05-30,Moderate,Very High,Lightly Active,Moderate,Low,Very Good,Optimal
2024-05-31,High,Very High,Lightly Active,Long,Low,Good,Good
2024-06-01,Light,High,Very Active,Moderate,Moderate,Very Good,Optimal
2024-06-02,Moderate,Moderate,Very Active,Long,High,Good,Low
2024-06-03,Moderate,High,Lightly Active,Very Short,Moderate,Good,Good
2024-06-04,Moderate,High,Sedentary,Moderate,High,Very Poor,Low
2024-06-05,Resting,Very High,Active,Short,Low,Very Good,Low
2024-06-06,Light,Moderate,Active,Moderate,Moderate,Very Poor,Optimal
2024-06-07,Resting,Very High,Active,Short,High,Very Good,Moderate
2024-06-08,High,Low,Sedentary,Long,Moderate,Very Good,Good
2024-06-09,Moderate,Very High,Lightly Active,Long,Moderate,Very Good,Good
2024-06-10,Light,Moderate,Very Active,Long,Moderate,Very Poor,Moderate
2024-06-11,Moderate,High,Active,Short,High,Poor,Optimal
2024-06-12,Resting,High,Lightly Active,Moderate,Very High,Poor,Low
2024-06-13,Moderate,Moderate,Very Active,Moderate,Low,Poor,Optimal
2024-06-14,High,High,Active,Short,Moderate,Very Poor,Optimal
2024-06-15,Resting,Moderate,Sedentary,Short,Very High,Very Good,Good
2024-06-16,High,Low,Very Active,Moderate,Very High,Good,Optimal
2024-06-17,Light,Very High,Very Active,Long,Moderate,Poor,Low
2024-06-18,Light,Low,Active,Moderate,Low,Poor,Good
2024-06-19,Moderate,Low,Very Active,Moderate,Very High,Good,Moderate
2024-06-20,Light,Moderate,Very Active,Very Short,Low,Good,Optimal
2024-06-21,Resting,Low,Lightly Active,Very Short,Very High,Good,Optimal
2024-06-22,High,High,Active,Very Short,Moderate,Very Good,Moderate
2024-06-23,Moderate,Moderate,Lightly Active,Long,High,Good,Optimal
2024-06-24,Resting,Very High,Very Active,Very Short,Low,Very Good,Moderate
2024-06-25,Light,Very High,Active,Very Short,Low,Very Good,Good
2024-06-26,Light,Moderate,Active,Short,Moderate,Poor,Good
2024-06-27,High,Very High,Active,Long,Low,Very Good,Optimal
2024-06-28,Light,Low,Active,Long,Very High,Very Poor,Good
2024-06-29,Moderate,Very High,Very Active,Long,Low,Very Good,Moderate
2024-06-30,Light,Very High,Active,Long,Moderate,Poor,Low
2024-07-01,Resting,Moderate,Very Active,Moderate,Very High,Very Good,Moderate
2024-07-02,Light,Moderate,Very Active,Very Short,Very High,Very Good,Moderate
2024-07-03,Moderate,High,Active,Long,Moderate,Very Good,Moderate
2024-07-04,Resting,Very High,Very Active,Long,High,Very Good,Optimal
2024-07-05,Light,High,Very Active,Moderate,Very High,Poor,Good
2024-07-06,Moderate,Very High,Active,Long,High,Very Poor,Good
2024-07-07,Light,Very High,Very Active,Long,Moderate,Poor,Low
2024-07-08,Light,High,Lightly Active,Moderate,Moderate,Very Good,Optimal
2024-07-09,Resting,High,Very Active,Long,Moderate,Very Good,Optimal
2024-07-10,Light,Very High,Sedentary,Long,Moderate,Poor,Low
2024-07-11,Light,High,Active,Long,Moderate,Very Good,Optimal
2024-07-12,Moderate,Very High,Active,Long,Very High,Good,Good
2024-07-13,Light,Low,Very Active,Very Short,Very High,Very Good,Low
2024-07-14,High,Low,Very Active,Long,Moderate,Very Poor,Good
2024-07-15,Moderate,Low,Lightly Active,Very Short,High,Very Good,Good
2024-07-16,Moderate,Very High,Very Active,Moderate,Moderate,Very Good,Moderate
2024-07-17,Moderate,High,Very Active,Long,High,Good,Optimal
2024-07-18,Moderate,Very High,Sedentary,Moderate,Moderate,Good,Optimal
2024-07-19,Light,High,Lightly Active,Moderate,Very High,Very Good,Optimal
2024-07-20,Moderate,Low,Active,Short,Moderate,Very Good,Good
2024-07-21,Resting,Moderate,Very Active,Very Short,High,Good,Good
2024-07-22,Light,Low,Active,Long,High,Poor,Optimal
2024-07-23,Moderate,Moderate,Very Active,Short,Very High,Very Poor,Good
2024-07-24,Light,Moderate,Very Active,Very Short,Moderate,Poor,Low
2024-07-25,High,Low,Lightly Active,Moderate,Moderate,Very Poor,Good
2024-07-26,Light,Moderate,Very Active,Long,High,Very Poor,Optimal
2024-07-27,Moderate,Moderate,Lightly Active,Long,Low,Very Poor,Good
2024-07-28,Moderate,Very High,Active,Very Short,Very High,Very Good,Low
2024-07-29,Moderate,Moderate,Active,Moderate,Moderate,Good,Optimal
2024-07-30,Moderate,Very High,Lightly Active,Moderate,Low,Very Good,Moderate
2024-07-31,Light,High,Very Active,Long,High,Very Good,Moderate
2024-08-01,Light,Low,Active,Long,Very High,Poor,Moderate
2024-08-02,Light,Low,Very Active,Moderate,Low,Good,Moderate
2024-08-03,High,Moderate,Active,Moderate,Moderate,Good,Optimal
2024-08-04,High,Very High,Sedentary,Moderate,High,Very Poor,Good
2024-08-05,High,High,Very Active,Long,High,Good,Moderate
2024-08-06,Resting,Moderate,Very Active,Moderate,High,Poor,Optimal
2024-08-07,Resting,Very High,Very Active,Moderate,High,Good,Optimal
2024-08-08,High,Very High,Very Active,Moderate,Moderate,Good,Optimal
2024-08-09,Light,Very High,Lightly Active,Moderate,Moderate,Very Poor,Moderate
2024-08-10,Resting,High,Sedentary,Long,Low,Very Poor,Good
2024-08-11,Moderate,Low,Active,Moderate,Moderate,Very Good,Optimal
2024-08-12,Moderate,High,Very Active,Long,High,Good,Optimal
2024-08-13,High,High,Very Active,Long,Very High,Very Poor,Low
2024-08-14,Light,Moderate,Very Active,Moderate,Low,Very Good,Low
2024-08-15,Moderate,High,Active,Moderate,Very High,Very Poor,Good
2024-08-16,Moderate,High,Active,Long,Low,Very Good,Optimal
2024-08-17,Light,Moderate,Very Active,Moderate,Moderate,Very Good,Good
2024-08-18,High,Moderate,Very Active,Moderate,Low,Poor,Good
2024-08-19,Light,High,Lightly Active,Long,Very High,Very Poor,Low
2024-08-20,Resting,Very High,Active,Very Short,High,Very Poor,Optimal
2024-08-21,Light,Low,Lightly Active,Short,Low,Poor,Optimal
2024-08-22,Light,Moderate,Active,Moderate,Low,Very Poor,Moderate
2024-08-23,High,Low,Very Active,Long,High,Very Good,Optimal
2024-08-24,Moderate,Moderate,Very Active,Very Short,Moderate,Very Poor,Optimal
2024-08-25,Light,Very High,Active,Very Short,Moderate,Good,Moderate
2024-08-26,High,High,Sedentary,Very Short,Low,Very Good,Good
2024-08-27,Light,Very High,Sedentary,Very Short,Moderate,Very Good,Moderate
2024-08-28,High,Moderate,Active,Very Short,Low,Good,Optimal
2024-08-29,Light,High,Very Active,Moderate,High,Poor,Good
2024-08-30,Moderate,Low,Very Active,Moderate,Moderate,Good,Optimal
2024-08-31,Moderate,Very High,Very Active,Short,Moderate,Good,Optimal
2024-09-01,Moderate,Moderate,Sedentary,Moderate,Moderate,Very Good,Good
2024-09-02,Light,High,Very Active,Very Short,Moderate,Very Poor,Optimal
2024-09-03,Moderate,Very High,Active,Short,Moderate,Very Good,Good
2024-09-04,High,Low,Lightly Active,Moderate,Very High,Good,Moderate
2024-09-05,Light,Very High,Active,Long,High,Poor,Optimal
2024-09-06,Moderate,High,Very Active,Very Short,Low,Poor,Optimal
2024-09-07,Light,Very High,Lightly Active,Moderate,Moderate,Poor,Moderate
2024-09-08,Moderate,Very High,Sedentary,Short,Very High,Very Good,Optimal
2024-09-09,Light,Low,Active,Long,Moderate,Very Good,Optimal
2024-09-10,Moderate,Low,Sedentary,Long,Very High,Very Good,Moderate
2024-09-11,Light,Moderate,Active,Moderate,Very High,Very Poor,Optimal
2024-09-12,Resting,Moderate,Very Active,Short,Moderate,Poor,Moderate
2024-09-13,High,Very High,Very Active,Long,Low,Good,Moderate
2024-09-14,Moderate,High,Lightly Active,Very Short,Moderate,Very Poor,Moderate
2024-09-15,Light,Very High,Active,Very Short,Low,Poor,Optimal
2024-09-16,Moderate,Low,Active,Moderate,Moderate,Very Good,Optimal
2024-09-17,Moderate,Moderate,Very Active,Very Short,Moderate,Very Poor,Moderate
2024-09-18,Moderate,Very High,Very Active,Long,Low,Good,Good
2024-09-19,Resting,Moderate,Sedentary,Long,Very High,Poor,Good
2024-09-20,Moderate,High,Active,Short,Low,Very Poor,Low
2024-09-21,Light,Low,Sedentary,Moderate,High,Poor,Optimal
2024-09-22,Light,Moderate,Active,Long,Low,Very Good,Optimal
2024-09-23,High,High,Lightly Active,Long,Moderate,Very Good,Good
2024-09-24,Light,Low,Lightly Active,Moderate,High,Very Good,Optimal
2024-09-25,Light,Very High,Active,Long,Low,Good,Good
2024-09-26,Light,Low,Very Active,Long,Moderate,Very Poor,Optimal
2024-09-27,Resting,Low,Lightly Active,Long,High,Good,Optimal
2024-09-28,Light,High,Lightly Active,Very Short,High,Good,Optimal
2024-09-29,Moderate,Very High,Very Active,Moderate,Low,Very Good,Moderate
2024-09-30,High,Low,Lightly Active,Long,Very High,Very Poor,Optimal
